# Volcado crudo Ui24R
# fecha: 2026-09-08T17:00:25.941Z
# host: 192.168.0.49
# handshake: 10815005726458572105:5:5:websocket
# url websocket: ws://192.168.0.49/socket.io/1/websocket/10815005726458572105
# duracion objetivo: 20s
# NOTA: esta sesion no envio ningun comando de escritura. Solo heartbeat "2::".

    70ms [MSG6] SETS^a.7.afs.eq.11^1000.0000000000,116.0000000000,0.0000000000,0
    70ms [MSG6] SETS^a.7.afs.eq.8^1000.0000000000,116.0000000000,0.0000000000,0
    70ms [MSG6] SETS^a.7.afs.eq.9^1000.0000000000,116.0000000000,0.0000000000,0
    70ms [MSG6] SETS^a.7.eq.prname^
    70ms [MSG6] SETS^a.7.gate.prname^
    70ms [MSG6] SETS^a.7.afs.eq.2^1000.0000000000,116.0000000000,0.0000000000,0
    70ms [MSG6] SETS^a.7.afs.eq.3^1000.0000000000,116.0000000000,0.0000000000,0
    70ms [MSG6] SETS^a.7.afs.eq.0^1000.0000000000,116.0000000000,0.0000000000,0
    70ms [MSG6] SETS^a.7.afs.eq.1^1000.0000000000,116.0000000000,0.0000000000,0
    70ms [MSG6] SETS^a.7.dyn.prname^
